text,name
называй меня теперь андрей,7
мое имя андрей окей да,5
обращайся ко мне как андрей короче,6
андрей это мое имя,4
называй меня теперь андрей хорошо,6
меня зовут анжела,7
мое имя анжела,7
называй меня анжела,7
называй меня теперь анжела,7
мое имя анжела окей да,5
обращайся ко мне как анжела короче,6
анжела это мое имя,4
называй меня теперь анжела хорошо,6
меня зовут анжелика,7
мое имя анжелика,7
называй меня анжелика,7
называй меня теперь анжелика,7
мое имя анжелика окей да,5
обращайся ко мне как анжелика короче,6
анжелика это мое имя,4
называй меня теперь анжелика хорошо,6
меня зовут анисий,7
мое имя анисий,7
называй меня анисий,7
называй меня теперь анисий,7
мое имя анисий окей да,5
обращайся ко мне как анисий короче,6
анисий это мое имя,4
называй меня теперь анисий хорошо,6
меня зовут анна,7
мое имя анна,7
называй меня анна,7
называй меня теперь анна,7
мое имя анна окей да,5
обращайся ко мне как анна короче,6
анна это мое имя,4
называй меня теперь анна хорошо,6
меня зовут антон,7
мое имя антон,7
называй меня антон,7
называй меня теперь антон,7
мое имя антон окей да,5
обращайся ко мне как антон короче,6
антон это мое имя,4
называй меня теперь антон хорошо,6
меня зовут антонина,7
мое имя антонина,7
называй меня антонина,7
называй меня теперь антонина,7
мое имя антонина окей да,5
обращайся ко мне как антонина короче,6
антонина это мое имя,4
называй меня теперь антонина хорошо,6
меня зовут анфиса,7
мое имя анфиса,7
называй меня анфиса,7
называй меня теперь анфиса,7
мое имя анфиса окей да,5
обращайся ко мне как анфиса короче,6
анфиса это мое имя,4
называй меня теперь анфиса хорошо,6
меня зовут аполлинарий,7
мое имя аполлинарий,7
называй меня аполлинарий,7
называй меня теперь аполлинарий,7
мое имя аполлинарий окей да,5
обращайся ко мне как аполлинарий короче,6
аполлинарий это мое имя,4
называй меня теперь аполлинарий хорошо,6
меня зовут аполлон,7
мое имя аполлон,7
называй меня аполлон,7
называй меня теперь аполлон,7
мое имя аполлон окей да,5
обращайся ко мне как аполлон короче,6
аполлон это мое имя,4
называй меня теперь аполлон хорошо,6
меня зовут арина,7
мое имя арина,7
называй меня арина,7
называй меня теперь арина,7
мое имя арина окей да,5
обращайся ко мне как арина короче,6
арина это мое имя,4
называй меня теперь арина хорошо,6
меня зовут аристарх,7
мое имя аристарх,7
называй меня аристарх,7
называй меня теперь аристарх,7
мое имя аристарх окей да,5
обращайся ко мне как аристарх короче,6
аристарх это мое имя,4
называй меня теперь аристарх хорошо,6
меня зовут аркадий,7
мое имя аркадий,7
называй меня аркадий,7
называй меня теперь аркадий,7
мое имя аркадий окей да,5
обращайся ко мне как аркадий короче,6
аркадий это мое имя,4
называй меня теперь аркадий хорошо,6
меня зовут арсен,7
мое имя арсен,7
называй меня арсен,7
называй меня теперь арсен,7
мое имя арсен окей да,5
обращайся ко мне как арсен короче,6
арсен это мое имя,4
называй меня теперь арсен хорошо,6
меня зовут арсений,7
мое имя арсений,7
называй меня арсений,7
называй меня теперь арсений,7
мое имя арсений окей да,5
обращайся ко мне как арсений короче,6
арсений это мое имя,4
называй меня теперь арсений хорошо,6
меня зовут артем,7
мое имя артем,7
называй меня артем,7
называй меня теперь артем,7
мое имя артем окей да,5
обращайся ко мне как артем короче,6
артем это мое имя,4
называй меня теперь артем хорошо,6
меня зовут артемий,7
мое имя артемий,7
называй меня артемий,7
называй меня теперь артемий,7
мое имя артемий окей да,5
обращайся ко мне как артемий короче,6
артемий это мое имя,4
называй меня теперь артемий хорошо,6
меня зовут артур,7
мое имя артур,7
называй меня артур,7
называй меня теперь артур,7
мое имя артур окей да,5
обращайся ко мне как артур короче,6
артур это мое имя,4
называй меня теперь артур хорошо,6
меня зовут архип,7
мое имя архип,7
называй меня архип,7
называй меня теперь архип,7
мое имя архип окей да,5
обращайся ко мне как архип короче,6
архип это мое имя,4
называй меня теперь архип хорошо,6
меня зовут ася,7
мое имя ася,7
называй меня ася,7
называй меня теперь ася,7
мое имя ася окей да,5
обращайся ко мне как ася короче,6
ася это мое имя,4
называй меня теперь ася хорошо,6
меня зовут бенедикт,7
мое имя бенедикт,7
называй меня бенедикт,7
называй меня теперь бенедикт,7
мое имя бенедикт окей да,5
обращайся ко мне как бенедикт короче,6
бенедикт это мое имя,4
называй меня теперь бенедикт хорошо,6
меня зовут богдан,7
мое имя богдан,7
называй меня богдан,7
называй меня теперь богдан,7
мое имя богдан окей да,5
обращайся ко мне как богдан короче,6
богдан это мое имя,4
называй меня теперь богдан хорошо,6
меня зовут божена,7
мое имя божена,7
называй меня божена,7
называй меня теперь божена,7
мое имя божена окей да,5
обращайся ко мне как божена короче,6
божена это мое имя,4
называй меня теперь божена хорошо,6
меня зовут болеслав,7
мое имя болеслав,7
называй меня болеслав,7
называй меня теперь болеслав,7
мое имя болеслав окей да,5
обращайся ко мне как болеслав короче,6
болеслав это мое имя,4
называй меня теперь болеслав хорошо,6
меня зовут борис,7
мое имя борис,7
называй меня борис,7
называй меня теперь борис,7
мое имя борис окей да,5
обращайся ко мне как борис короче,6
борис это мое имя,4
называй меня теперь борис хорошо,6
меня зовут борислав,7
мое имя борислав,7
называй меня борислав,7
называй меня теперь борислав,7
мое имя борислав окей да,5
обращайся ко мне как борислав короче,6
борислав это мое имя,4
называй меня теперь борислав хорошо,6
меня зовут бронислав,7
мое имя бронислав,7
называй меня бронислав,7
называй меня теперь бронислав,7
мое имя бронислав окей да,5
обращайся ко мне как бронислав короче,6
бронислав это мое имя,4
называй меня теперь бронислав хорошо,6
меня зовут бронислава,7
мое имя бронислава,7
называй меня бронислава,7
называй меня теперь бронислава,7
мое имя бронислава окей да,5
обращайся ко мне как бронислава короче,6
бронислава это мое имя,4
называй меня теперь бронислава хорошо,6
меня зовут булат,7
мое имя булат,7
называй меня булат,7
называй меня теперь булат,7
мое имя булат окей да,5
обращайся ко мне как булат короче,6
булат это мое имя,4
называй меня теперь булат хорошо,6
меня зовут вадим,7
мое имя вадим,7
называй меня вадим,7
называй меня теперь вадим,7
мое имя вадим окей да,5
обращайся ко мне как вадим короче,6
вадим это мое имя,4
называй меня теперь вадим хорошо,6
меня зовут валентин,7
мое имя валентин,7
называй меня валентин,7
называй меня теперь валентин,7
мое имя валентин окей да,5
обращайся ко мне как валентин короче,6
валентин это мое имя,4
называй меня теперь валентин хорошо,6
меня зовут валентина,7
мое имя валентина,7
называй меня валентина,7
называй меня теперь валентина,7
мое имя валентина окей да,5
обращайся ко мне как валентина короче,6
валентина это мое имя,4
называй меня теперь валентина хорошо,6
меня зовут валерий,7
мое имя валерий,7
называй меня валерий,7
называй меня теперь валерий,7
мое имя валерий окей да,5
обращайся ко мне как валерий короче,6
валерий это мое имя,4
называй меня теперь валерий хорошо,6
меня зовут валерия,7
мое имя валерия,7
называй меня валерия,7
называй меня теперь валерия,7
мое имя валерия окей да,5
обращайся ко мне как валерия короче,6
валерия это мое имя,4
называй меня теперь валерия хорошо,6
меня зовут ванда,7
мое имя ванда,7
называй меня ванда,7
называй меня теперь ванда,7
мое имя ванда окей да,5
обращайся ко мне как ванда короче,6
ванда это мое имя,4
называй меня теперь ванда хорошо,6
меня зовут варвара,7
мое имя варвара,7
называй меня варвара,7
называй меня теперь варвара,7
мое имя варвара окей да,5
обращайся ко мне как варвара короче,6
варвара это мое имя,4
называй меня теперь варвара хорошо,6
меня зовут василий,7
мое имя василий,7
называй меня василий,7
называй меня теперь василий,7
мое имя василий окей да,5
обращайся ко мне как василий короче,6
василий это мое имя,4
называй меня теперь василий хорошо,6
меня зовут василиса,7
мое имя василиса,7
называй меня василиса,7
называй меня теперь василиса,7
мое имя василиса окей да,5
обращайся ко мне как василиса короче,6
василиса это мое имя,4
называй меня теперь василиса хорошо,6
меня зовут венера,7
мое имя венера,7
называй меня венера,7
называй меня теперь венера,7
мое имя венера окей да,5
обращайся ко мне как венера короче,6
венера это мое имя,4
называй меня теперь венера хорошо,6
меня зовут вениамин,7
мое имя вениамин,7
называй меня вениамин,7
называй меня теперь вениамин,7
мое имя вениамин окей да,5
обращайся ко мне как вениамин короче,6
вениамин это мое имя,4
называй меня теперь вениамин хорошо,6
меня зовут вера,7
мое имя вера,7
называй меня вера,7
называй меня теперь вера,7
мое имя вера окей да,5
обращайся ко мне как вера короче,6
вера это мое имя,4
называй меня теперь вера хорошо,6
меня зовут вероника,7
мое имя вероника,7
называй меня вероника,7
называй меня теперь вероника,7
мое имя вероника окей да,5
обращайся ко мне как вероника короче,6
вероника это мое имя,4
называй меня теперь вероника хорошо,6
меня зовут викентий,7
мое имя викентий,7
называй меня викентий,7
называй меня теперь викентий,7
мое имя викентий окей да,5
обращайся ко мне как викентий короче,6
викентий это мое имя,4
называй меня теперь викентий хорошо,6
меня зовут виктор,7
мое имя виктор,7
называй меня виктор,7
называй меня теперь виктор,7
мое имя виктор окей да,5
обращайся ко мне как виктор короче,6
виктор это мое имя,4
называй меня теперь виктор хорошо,6
меня зовут виктория,7
мое имя виктория,7
называй меня виктория,7
называй меня теперь виктория,7
мое имя виктория окей да,5
обращайся ко мне как виктория короче,6
виктория это мое имя,4
называй меня теперь виктория хорошо,6
меня зовут вилен,7
мое имя вилен,7
называй меня вилен,7
называй меня теперь вилен,7
мое имя вилен окей да,5
обращайся ко мне как вилен короче,6
вилен это мое имя,4
называй меня теперь вилен хорошо,6
меня зовут виолетта,7
мое имя виолетта,7
называй меня виолетта,7
называй меня теперь виолетта,7
мое имя виолетта окей да,5
обращайся ко мне как виолетта короче,6
виолетта это мое имя,4
называй меня теперь виолетта хорошо,6
меня зовут виссарион,7
мое имя виссарион,7
называй меня виссарион,7
называй меня теперь виссарион,7
мое имя виссарион окей да,5
обращайся ко мне как виссарион короче,6
виссарион это мое имя,4
называй меня теперь виссарион хорошо,6
меня зовут вита,7
мое имя вита,7
называй меня вита,7
называй меня теперь вита,7
мое имя вита окей да,5
обращайся ко мне как вита короче,6
вита это мое имя,4
называй меня теперь вита хорошо,6
меня зовут виталий,7
мое имя виталий,7
называй меня виталий,7
называй меня теперь виталий,7
мое имя виталий окей да,5
обращайся ко мне как виталий короче,6
виталий это мое имя,4
называй меня теперь виталий хорошо,6
меня зовут влад,7
мое имя влад,7
называй меня влад,7
называй меня теперь влад,7
мое имя влад окей да,5
обращайся ко мне как влад короче,6
влад это мое имя,4
называй меня теперь влад хорошо,6
меня зовут владимир,7
мое имя владимир,7
называй меня владимир,7
называй меня теперь владимир,7
мое имя владимир окей да,5
обращайся ко мне как владимир короче,6
владимир это мое имя,4
называй меня теперь владимир хорошо,6
меня зовут владислав,7
мое имя владислав,7
называй меня владислав,7
называй меня теперь владислав,7
мое имя владислав окей да,5
обращайся ко мне как владислав короче,6
владислав это мое имя,4
называй меня теперь владислав хорошо,6
меня зовут владислава,7
мое имя владислава,7
называй меня владислава,7
называй меня теперь владислава,7
мое имя владислава окей да,5
обращайся ко мне как владислава короче,6
владислава это мое имя,4
называй меня теперь владислава хорошо,6
меня зовут владлен,7
мое имя владлен,7
называй меня владлен,7
называй меня теперь владлен,7
мое имя владлен окей да,5
обращайся ко мне как владлен короче,6
владлен это мое имя,4
называй меня теперь владлен хорошо,6
меня зовут вольдемар,7
мое имя вольдемар,7
называй меня вольдемар,7
называй меня теперь вольдемар,7
мое имя вольдемар окей да,5
обращайся ко мне как вольдемар короче,6
вольдемар это мое имя,4
называй меня теперь вольдемар хорошо,6
меня зовут всеволод,7
мое имя всеволод,7
называй меня всеволод,7
называй меня теперь всеволод,7
мое имя всеволод окей да,5
обращайся ко мне как всеволод короче,6
всеволод это мое имя,4
называй меня теперь всеволод хорошо,6
меня зовут вячеслав,7
мое имя вячеслав,7
называй меня вячеслав,7
называй меня теперь вячеслав,7
мое имя вячеслав окей да,5
обращайся ко мне как вячеслав короче,6
вячеслав это мое имя,4
называй меня теперь вячеслав хорошо,6
меня зовут гавриил,7
мое имя гавриил,7
называй меня гавриил,7
называй меня теперь гавриил,7
мое имя гавриил окей да,5
обращайся ко мне как гавриил короче,6
гавриил это мое имя,4
называй меня теперь гавриил хорошо,6
меня зовут галина,7
мое имя галина,7
называй меня галина,7
называй меня теперь галина,7
мое имя галина окей да,5
обращайся ко мне как галина короче,6
галина это мое имя,4
называй меня теперь галина хорошо,6
меня зовут гелла,7
мое имя гелла,7
называй меня гелла,7
называй меня теперь гелла,7
мое имя гелла окей да,5
обращайся ко мне как гелла короче,6
гелла это мое имя,4
называй меня теперь гелла хорошо,6
меня зовут геннадий,7
мое имя геннадий,7
называй меня геннадий,7
называй меня теперь геннадий,7
мое имя геннадий окей да,5
обращайся ко мне как геннадий короче,6
геннадий это мое имя,4
называй меня теперь геннадий хорошо,6
меня зовут георгий,7
мое имя георгий,7
называй меня георгий,7
называй меня теперь георгий,7
мое имя георгий окей да,5
обращайся ко мне как георгий короче,6
георгий это мое имя,4
называй меня теперь георгий хорошо,6
меня зовут герман,7
мое имя герман,7
называй меня герман,7
называй меня теперь герман,7
мое имя герман окей да,5
обращайся ко мне как герман короче,6
герман это мое имя,4
называй меня теперь герман хорошо,6
меня зовут гертруда,7
мое имя гертруда,7
называй меня гертруда,7
называй меня теперь гертруда,7
мое имя гертруда окей да,5
обращайся ко мне как гертруда короче,6
гертруда это мое имя,4
называй меня теперь гертруда хорошо,6
меня зовут глафира,7
мое имя глафира,7
называй меня глафира,7
называй меня теперь глафира,7
мое имя глафира окей да,5
обращайся ко мне как глафира короче,6
глафира это мое имя,4
называй меня теперь глафира хорошо,6
меня зовут глеб,7
мое имя глеб,7
называй меня глеб,7
называй меня теперь глеб,7
мое имя глеб окей да,5
обращайся ко мне как глеб короче,6
глеб это мое имя,4
называй меня теперь глеб хорошо,6
меня зовут гордей,7
мое имя гордей,7
называй меня гордей,7
называй меня теперь гордей,7
мое имя гордей окей да,5
обращайся ко мне как гордей короче,6
гордей это мое имя,4
называй меня теперь гордей хорошо,6
меня зовут григорий,7
мое имя григорий,7
называй меня григорий,7
называй меня теперь григорий,7
мое имя григорий окей да,5
обращайся ко мне как григорий короче,6
григорий это мое имя,4
называй меня теперь григорий хорошо,6
меня зовут давид,7
мое имя давид,7
называй меня давид,7
называй меня теперь давид,7
мое имя давид окей да,5
обращайся ко мне как давид короче,6
давид это мое имя,4
называй меня теперь давид хорошо,6
меня зовут даниил,7
мое имя даниил,7
называй меня даниил,7
называй меня теперь даниил,7
мое имя даниил окей да,5
обращайся ко мне как даниил короче,6
даниил это мое имя,4
называй меня теперь даниил хорошо,6
меня зовут дарина,7
мое имя дарина,7
называй меня дарина,7
называй меня теперь дарина,7
мое имя дарина окей да,5
обращайся ко мне как дарина короче,6
дарина это мое имя,4
называй меня теперь дарина хорошо,6
меня зовут дарья,7
мое имя дарья,7
называй меня дарья,7
называй меня теперь дарья,7
мое имя дарья окей да,5
обращайся ко мне как дарья короче,6
дарья это мое имя,4
называй меня теперь дарья хорошо,6
меня зовут демьян,7
мое имя демьян,7
называй меня демьян,7
называй меня теперь демьян,7
мое имя демьян окей да,5
обращайся ко мне как демьян короче,6
демьян это мое имя,4
называй меня теперь демьян хорошо,6
меня зовут денис,7
мое имя денис,7
называй меня денис,7
называй меня теперь денис,7
мое имя денис окей да,5
обращайся ко мне как денис короче,6
денис это мое имя,4
называй меня теперь денис хорошо,6
меня зовут диана,7
мое имя диана,7
называй меня диана,7
называй меня теперь диана,7
мое имя диана окей да,5
обращайся ко мне как диана короче,6
диана это мое имя,4
называй меня теперь диана хорошо,6
меня зовут дина,7
мое имя дина,7
называй меня дина,7
называй меня теперь дина,7
мое имя дина окей да,5
обращайся ко мне как дина короче,6
дина это мое имя,4
называй меня теперь дина хорошо,6
меня зовут динара,7
мое имя динара,7
называй меня динара,7
называй меня теперь динара,7
мое имя динара окей да,5
обращайся ко мне как динара короче,6
динара это мое имя,4
называй меня теперь динара хорошо,6
меня зовут дмитрий,7
мое имя дмитрий,7
называй меня дмитрий,7
называй меня теперь дмитрий,7
мое имя дмитрий окей да,5
обращайся ко мне как дмитрий короче,6
дмитрий это мое имя,4
называй меня теперь дмитрий хорошо,6
меня зовут добрыня,7
мое имя добрыня,7
называй меня добрыня,7
называй меня теперь добрыня,7
мое имя добрыня окей да,5
обращайся ко мне как добрыня короче,6
добрыня это мое имя,4
называй меня теперь добрыня хорошо,6
меня зовут дора,7
мое имя дора,7
называй меня дора,7
называй меня теперь дора,7
мое имя дора окей да,5
обращайся ко мне как дора короче,6
дора это мое имя,4
называй меня теперь дора хорошо,6
меня зовут ева,7
мое имя ева,7
называй меня ева,7
называй меня теперь ева,7
мое имя ева окей да,5
обращайся ко мне как ева короче,6
ева это мое имя,4
называй меня теперь ева хорошо,6
меня зовут евгений,7
мое имя евгений,7
называй меня евгений,7
называй меня теперь евгений,7
мое имя евгений окей да,5
обращайся ко мне как евгений короче,6
евгений это мое имя,4
называй меня теперь евгений хорошо,6
меня зовут евгения,7
мое имя евгения,7
называй меня евгения,7
называй меня теперь евгения,7
мое имя евгения окей да,5
обращайся ко мне как евгения короче,6
евгения это мое имя,4
называй меня теперь евгения хорошо,6
меня зовут евдоким,7
мое имя евдоким,7
называй меня евдоким,7
называй меня теперь евдоким,7
мое имя евдоким окей да,5
обращайся ко мне как евдоким короче,6
евдоким это мое имя,4
называй меня теперь евдоким хорошо,6
меня зовут евдокия,7
мое имя евдокия,7
называй меня евдокия,7
называй меня теперь евдокия,7
мое имя евдокия окей да,5
обращайся ко мне как евдокия короче,6
евдокия это мое имя,4
называй меня теперь евдокия хорошо,6
меня зовут егор,7
мое имя егор,7
называй меня егор,7
называй меня теперь егор,7
мое имя егор окей да,5
обращайся ко мне как егор короче,6
егор это мое имя,4
называй меня теперь егор хорошо,6
меня зовут екатерина,7
мое имя екатерина,7
называй меня екатерина,7
называй меня теперь екатерина,7
мое имя екатерина окей да,5
обращайся ко мне как екатерина короче,6
екатерина это мое имя,4
называй меня теперь екатерина хорошо,6
меня зовут елена,7
мое имя елена,7
называй меня елена,7
называй меня теперь елена,7
мое имя елена окей да,5
обращайся ко мне как елена короче,6
елена это мое имя,4
называй меня теперь елена хорошо,6
меня зовут елизавета,7
мое имя елизавета,7
называй меня елизавета,7
называй меня теперь елизавета,7
мое имя елизавета окей да,5
обращайся ко мне как елизавета короче,6
елизавета это мое имя,4
называй меня теперь елизавета хорошо,6
меня зовут елисей,7
мое имя елисей,7
называй меня елисей,7
называй меня теперь елисей,7
мое имя елисей окей да,5
обращайся ко мне как елисей короче,6
елисей это мое имя,4
называй меня теперь елисей хорошо,6
меня зовут есения,7
мое имя есения,7
называй меня есения,7
называй меня теперь есения,7
мое имя есения окей да,5
обращайся ко мне как есения короче,6
есения это мое имя,4
называй меня теперь есения хорошо,6
меня зовут ефим,7
мое имя ефим,7
называй меня ефим,7
называй меня теперь ефим,7
мое имя ефим окей да,5
обращайся ко мне как ефим короче,6
ефим это мое имя,4
называй меня теперь ефим хорошо,6
меня зовут ефрем,7
мое имя ефрем,7
называй меня ефрем,7
называй меня теперь ефрем,7
мое имя ефрем окей да,5
обращайся ко мне как ефрем короче,6
ефрем это мое имя,4
называй меня теперь ефрем хорошо,6
меня зовут ефросинья,7
мое имя ефросинья,7
называй меня ефросинья,7
называй меня теперь ефросинья,7
мое имя ефросинья окей да,5
обращайся ко мне как ефросинья короче,6
ефросинья это мое имя,4
называй меня теперь ефросинья хорошо,6
меня зовут жанна,7
мое имя жанна,7
называй меня жанна,7
называй меня теперь жанна,7
мое имя жанна окей да,5
обращайся ко мне как жанна короче,6
жанна это мое имя,4
называй меня теперь жанна хорошо,6
меня зовут ждан,7
мое имя ждан,7
называй меня ждан,7
называй меня теперь ждан,7
мое имя ждан окей да,5
обращайся ко мне как ждан короче,6
ждан это мое имя,4
называй меня теперь ждан хорошо,6
меня зовут захар,7
мое имя захар,7
называй меня захар,7
называй меня теперь захар,7
мое имя захар окей да,5
обращайся ко мне как захар короче,6
захар это мое имя,4
называй меня теперь захар хорошо,6
меня зовут зинаида,7
мое имя зинаида,7
называй меня зинаида,7
называй меня теперь зинаида,7
мое имя зинаида окей да,5
обращайся ко мне как зинаида короче,6
зинаида это мое имя,4
называй меня теперь зинаида хорошо,6
меня зовут зиновий,7
мое имя зиновий,7
называй меня зиновий,7
называй меня теперь зиновий,7
мое имя зиновий окей да,5
обращайся ко мне как зиновий короче,6
зиновий это мое имя,4
называй меня теперь зиновий хорошо,6
меня зовут злата,7
мое имя злата,7
называй меня злата,7
называй меня теперь злата,7
мое имя злата окей да,5
обращайся ко мне как злата короче,6
злата это мое имя,4
называй меня теперь злата хорошо,6
меня зовут зорий,7
мое имя зорий,7
называй меня зорий,7
называй меня теперь зорий,7
мое имя зорий окей да,5
обращайся ко мне как зорий короче,6
зорий это мое имя,4
называй меня теперь зорий хорошо,6
меня зовут зоряна,7
мое имя зоряна,7
называй меня зоряна,7
называй меня теперь зоряна,7
мое имя зоряна окей да,5
обращайся ко мне как зоряна короче,6
зоряна это мое имя,4
называй меня теперь зоряна хорошо,6
меня зовут зоя,7
мое имя зоя,7
называй меня зоя,7
называй меня теперь зоя,7
мое имя зоя окей да,5
обращайся ко мне как зоя короче,6
зоя это мое имя,4
называй меня теперь зоя хорошо,6
меня зовут иван,7
мое имя иван,7
называй меня иван,7
называй меня теперь иван,7
мое имя иван окей да,5
обращайся ко мне как иван короче,6
иван это мое имя,4
называй меня теперь иван хорошо,6
меня зовут иветта,7
мое имя иветта,7
называй меня иветта,7
называй меня теперь иветта,7
мое имя иветта окей да,5
обращайся ко мне как иветта короче,6
иветта это мое имя,4
называй меня теперь иветта хорошо,6
меня зовут игнатий,7
мое имя игнатий,7
называй меня игнатий,7
называй меня теперь игнатий,7
мое имя игнатий окей да,5
обращайся ко мне как игнатий короче,6
игнатий это мое имя,4
называй меня теперь игнатий хорошо,6
меня зовут игорь,7
мое имя игорь,7
называй меня игорь,7
называй меня теперь игорь,7
мое имя игорь окей да,5
обращайся ко мне как игорь короче,6
игорь это мое имя,4
называй меня теперь игорь хорошо,6
меня зовут изольда,7
мое имя изольда,7
называй меня изольда,7
называй меня теперь изольда,7
мое имя изольда окей да,5
обращайся ко мне как изольда короче,6
изольда это мое имя,4
называй меня теперь изольда хорошо,6
меня зовут илга,7
мое имя илга,7
называй меня илга,7
называй меня теперь илга,7
мое имя илга окей да,5
обращайся ко мне как илга короче,6
илга это мое имя,4
называй меня теперь илга хорошо,6
